Provider,Node ID,Name,Country,Region,City,Latitude,Longitude,Data Center,Availability Zone,Service Types,Status,Bandwidth,Latency,Uptime,Description,Launch Date
alibaba_cloud,me-east-1,阿联酋（迪拜）,阿联酋,中东,迪拜,25.2048,55.2708,阿里云迪拜数据中心,me-east-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,280.2,99.95,阿里云中东区域数据中心,2018-09-01T00:00:00
alibaba_cloud,ap-south-1,印度（孟买）,印度,南亚,孟买,19.076,72.8777,阿里云孟买数据中心,ap-south-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,85.6,99.95,阿里云印度区域数据中心,2018-01-01T00:00:00
huawei_cloud,cn-north-1,华北-北京一,中国,华北,北京,39.9042,116.4074,华为云北京数据中心,cn-north-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.8,99.95,华为云华北区域主数据中心,2011-03-01T00:00:00
huawei_cloud,cn-north-4,华北-北京四,中国,华北,北京,39.9042,116.4074,华为云北京四数据中心,cn-north-4a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,6.2,99.95,华为云华北区域扩展数据中心,2015-06-01T00:00:00
huawei_cloud,cn-east-2,华东-上海二,中国,华东,上海,31.2304,121.4737,华为云上海数据中心,cn-east-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,4.9,99.95,华为云华东区域主数据中心,2012-08-01T00:00:00
huawei_cloud,cn-east-3,华东-上海一,中国,华东,上海,31.2304,121.4737,华为云上海一数据中心,cn-east-3a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.1,99.95,华为云华东区域扩展数据中心,2014-03-01T00:00:00
huawei_cloud,cn-south-1,华南-广州,中国,华南,广州,23.1291,113.2644,华为云广州数据中心,cn-south-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.6,99.95,华为云华南区域数据中心,2013-01-01T00:00:00
huawei_cloud,cn-southwest-2,西南-贵阳一,中国,西南,贵阳,26.647,106.6302,华为云贵阳数据中心,cn-southwest-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,8.5,99.95,华为云西南区域数据中心,2017-08-01T00:00:00
huawei_cloud,ap-southeast-1,中国-香港,中国,香港,香港,22.3193,114.1694,华为云香港数据中心,ap-southeast-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,15.2,99.95,华为云香港区域数据中心,2014-09-01T00:00:00
huawei_cloud,ap-southeast-2,亚太-曼谷,泰国,东南亚,曼谷,13.7563,100.5018,华为云曼谷数据中心,ap-southeast-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,65.8,99.95,华为云东南亚区域数据中心,2018-03-01T00:00:00
huawei_cloud,ap-southeast-3,亚太-新加坡,新加坡,东南亚,新加坡,1.3521,103.8198,华为云新加坡数据中心,ap-southeast-3a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,48.5,99.95,华为云新加坡区域数据中心,2016-11-01T00:00:00
huawei_cloud,ap-southeast-4,亚太-雅加达,印度尼西亚,东南亚,雅加达,-6.2088,106.8456,华为云雅加达数据中心,ap-southeast-4a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,75.2,99.95,华为云印尼区域数据中心,2019-06-01T00:00:00
huawei_cloud,ap-southeast-5,亚太-吉隆坡,马来西亚,东南亚,吉隆坡,3.139,101.6869,华为云吉隆坡数据中心,ap-southeast-5a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,68.9,99.95,华为云马来西亚区域数据中心,2020-01-01T00:00:00
huawei_cloud,ap-south-1,亚太-孟买,印度,南亚,孟买,19.076,72.8777,华为云孟买数据中心,ap-south-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,88.5,99.95,华为云印度区域数据中心,2017-12-01T00:00:00
huawei_cloud,af-south-1,非洲-约翰内斯堡,南非,非洲,约翰内斯堡,-26.2041,28.0473,华为云约翰内斯堡数据中心,af-south-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,320.5,99.95,华为云非洲区域数据中心,2019-08-01T00:00:00
huawei_cloud,la-south-2,拉美-圣地亚哥,智利,南美洲,圣地亚哥,-33.4489,-70.6693,华为云圣地亚哥数据中心,la-south-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,280.8,99.95,华为云南美区域数据中心,2019-12-01T00:00:00
huawei_cloud,na-mexico-1,拉美-墨西哥城一,墨西哥,北美洲,墨西哥城,19.4326,-99.1332,华为云墨西哥城数据中心,na-mexico-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,220.5,99.95,华为云墨西哥区域数据中心,2020-06-01T00:00:00
huawei_cloud,ru-northwest-9,俄罗斯-莫斯科一,俄罗斯,欧洲,莫斯科,55.7558,37.6176,华为云莫斯科数据中心,ru-northwest-9a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,180.2,99.95,华为云俄罗斯区域数据中心,2019-03-01T00:00:00
tencent_cloud,ap-beijing-1,华北地区（北京）,中国,华北,北京,39.9042,116.4074,腾讯云北京数据中心,ap-beijing-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.9,99.95,腾讯云华北区域主数据中心,2010-02-01T00:00:00
tencent_cloud,ap-beijing-3,华北地区（北京三区）,中国,华北,北京,39.9042,116.4074,腾讯云北京三区数据中心,ap-beijing-3a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,6.3,99.95,腾讯云华北区域扩展数据中心,2014-08-01T00:00:00
tencent_cloud,ap-shanghai-1,华东地区（上海）,中国,华东,上海,31.2304,121.4737,腾讯云上海数据中心,ap-shanghai-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.0,99.95,腾讯云华东区域主数据中心,2011-06-01T00:00:00
tencent_cloud,ap-shanghai-2,华东地区（上海二区）,中国,华东,上海,31.2304,121.4737,腾讯云上海二区数据中心,ap-shanghai-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.2,99.95,腾讯云华东区域扩展数据中心,2013-03-01T00:00:00
tencent_cloud,ap-guangzhou-1,华南地区（广州）,中国,华南,广州,23.1291,113.2644,腾讯云广州数据中心,ap-guangzhou-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.7,99.95,腾讯云华南区域主数据中心,2012-01-01T00:00:00
tencent_cloud,ap-guangzhou-2,华南地区（广州二区）,中国,华南,广州,23.1291,113.2644,腾讯云广州二区数据中心,ap-guangzhou-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.9,99.95,腾讯云华南区域扩展数据中心,2014-01-01T00:00:00
tencent_cloud,ap-chengdu-1,西南地区（成都）,中国,西南,成都,30.5728,104.0668,腾讯云成都数据中心,ap-chengdu-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,7.8,99.95,腾讯云西南区域数据中心,2016-05-01T00:00:00
tencent_cloud,ap-chongqing-1,西南地区（重庆）,中国,西南,重庆,29.4316,106.9123,腾讯云重庆数据中心,ap-chongqing-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,8.2,99.95,腾讯云重庆区域数据中心,2017-08-01T00:00:00
tencent_cloud,ap-hongkong-1,港澳台地区（香港）,中国,香港,香港,22.3193,114.1694,腾讯云香港数据中心,ap-hongkong-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,16.5,99.95,腾讯云香港区域数据中心,2013-09-01T00:00:00
tencent_cloud,ap-tokyo-1,亚太地区（东京）,日本,东亚,东京,35.6762,139.6503,腾讯云东京数据中心,ap-tokyo-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,35.8,99.95,腾讯云日本区域数据中心,2016-11-01T00:00:00
tencent_cloud,ap-seoul-1,亚太地区（首尔）,韩国,东亚,首尔,37.5665,126.978,腾讯云首尔数据中心,ap-seoul-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,42.3,99.95,腾讯云韩国区域数据中心,2017-03-01T00:00:00
tencent_cloud,ap-singapore-1,亚太地区（新加坡）,新加坡,东南亚,新加坡,1.3521,103.8198,腾讯云新加坡数据中心,ap-singapore-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,50.2,99.95,腾讯云新加坡区域数据中心,2015-08-01T00:00:00
tencent_cloud,ap-bangkok-1,亚太地区（曼谷）,泰国,东南亚,曼谷,13.7563,100.5018,腾讯云曼谷数据中心,ap-bangkok-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,68.5,99.95,腾讯云泰国区域数据中心,2018-06-01T00:00:00
tencent_cloud,ap-mumbai-1,亚太地区（孟买）,印度,南亚,孟买,19.076,72.8777,腾讯云孟买数据中心,ap-mumbai-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,90.8,99.95,腾讯云印度区域数据中心,2018-09-01T00:00:00
tencent_cloud,na-ashburn-1,北美地区（弗吉尼亚）,美国,东部,弗吉尼亚,37.4316,-78.6569,腾讯云弗吉尼亚数据中心,na-ashburn-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,205.3,99.95,腾讯云美国东部区域数据中心,2017-12-01T00:00:00
tencent_cloud,na-siliconvalley-1,北美地区（硅谷）,美国,西部,硅谷,37.7749,-122.4194,腾讯云硅谷数据中心,na-siliconvalley-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,185.6,99.95,腾讯云美国西部区域数据中心,2018-03-01T00:00:00
tencent_cloud,eu-frankfurt-1,欧洲地区（法兰克福）,德国,欧洲,法兰克福,50.1109,8.6821,腾讯云法兰克福数据中心,eu-frankfurt-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,225.8,99.95,腾讯云欧洲区域数据中心,2018-06-01T00:00:00
tencent_cloud,sa-saopaulo-1,南美地区（圣保罗）,巴西,南美洲,圣保罗,-23.5505,-46.6333,腾讯云圣保罗数据中心,sa-saopaulo-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,320.5,99.95,腾讯云南美区域数据中心,2019-03-01T00:00:00
aws,us-east-1,US East (N. Virginia),美国,东部,弗吉尼亚,37.4316,-78.6569,AWS US East (N. Virginia) Region,us-east-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,2.1,99.99,AWS US East (N. Virginia) Region - First AWS region,2006-03-14T00:00:00
aws,us-east-2,US East (Ohio),美国,东部,俄亥俄,39.9612,-82.9988,AWS US East (Ohio) Region,us-east-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,5.8,99.99,AWS US East (Ohio) Region,2016-10-17T00:00:00
aws,us-west-1,US West (N. California),美国,西部,北加利福尼亚,37.7749,-122.4194,AWS US West (N. California) Region,us-west-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,3.2,99.99,AWS US West (N. California) Region,2009-12-03T00:00:00
aws,us-west-2,US West (Oregon),美国,西部,俄勒冈,45.5152,-122.6784,AWS US West (Oregon) Region,us-west-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,4.1,99.99,AWS US West (Oregon) Region,2011-11-29T00:00:00
aws,af-south-1,Africa (Cape Town),南非,非洲,开普敦,-33.9249,18.4241,AWS Africa (Cape Town) Region,af-south-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,280.5,99.99,AWS Africa (Cape Town) Region,2020-04-22T00:00:00
aws,ap-east-1,Asia Pacific (Hong Kong),中国,香港,香港,22.3193,114.1694,AWS Asia Pacific (Hong Kong) Region,ap-east-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,18.5,99.99,AWS Asia Pacific (Hong Kong) Region,2019-04-25T00:00:00
aws,ap-south-1,Asia Pacific (Mumbai),印度,南亚,孟买,19.076,72.8777,AWS Asia Pacific (Mumbai) Region,ap-south-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,92.3,99.99,AWS Asia Pacific (Mumbai) Region,2016-06-27T00:00:00
aws,ap-south-2,Asia Pacific (Hyderabad),印度,南亚,海得拉巴,17.385,78.4867,AWS Asia Pacific (Hyderabad) Region,ap-south-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,95.8,99.99,AWS Asia Pacific (Hyderabad) Region,2022-11-22T00:00:00
aws,ap-southeast-1,Asia Pacific (Singapore),新加坡,东南亚,新加坡,1.3521,103.8198,AWS Asia Pacific (Singapore) Region,ap-southeast-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,52.1,99.99,AWS Asia Pacific (Singapore) Region,2010-04-29T00:00:00
aws,ap-southeast-2,Asia Pacific (Sydney),澳大利亚,大洋洲,悉尼,-33.8688,151.2093,AWS Asia Pacific (Sydney) Region,ap-southeast-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,125.8,99.99,AWS Asia Pacific (Sydney) Region,2012-11-12T00:00:00
aws,ap-southeast-3,Asia Pacific (Jakarta),印度尼西亚,东南亚,雅加达,-6.2088,106.8456,AWS Asia Pacific (Jakarta) Region,ap-southeast-3a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,78.5,99.99,AWS Asia Pacific (Jakarta) Region,2021-12-15T00:00:00
aws,ap-southeast-4,Asia Pacific (Melbourne),澳大利亚,大洋洲,墨尔本,-37.8136,144.9631,AWS Asia Pacific (Melbourne) Region,ap-southeast-4a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,128.2,99.99,AWS Asia Pacific (Melbourne) Region,2022-12-12T00:00:00
aws,ap-northeast-1,Asia Pacific (Tokyo),日本,东亚,东京,35.6762,139.6503,AWS Asia Pacific (Tokyo) Region,ap-northeast-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,38.9,99.99,AWS Asia Pacific (Tokyo) Region,2011-03-02T00:00:00
aws,ap-northeast-2,Asia Pacific (Seoul),韩国,东亚,首尔,37.5665,126.978,AWS Asia Pacific (Seoul) Region,ap-northeast-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,45.2,99.99,AWS Asia Pacific (Seoul) Region,2016-01-06T00:00:00
aws,ap-northeast-3,Asia Pacific (Osaka),日本,东亚,大阪,34.6937,135.5023,AWS Asia Pacific (Osaka) Region,ap-northeast-3a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,42.1,99.99,AWS Asia Pacific (Osaka) Region,2018-03-01T00:00:00
aws,eu-central-1,Europe (Frankfurt),德国,欧洲,法兰克福,50.1109,8.6821,AWS Europe (Frankfurt) Region,eu-central-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,225.8,99.99,AWS Europe (Frankfurt) Region,2014-10-23T00:00:00
aws,eu-west-1,Europe (Ireland),爱尔兰,欧洲,都柏林,53.3498,-6.2603,AWS Europe (Ireland) Region,eu-west-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,245.2,99.99,AWS Europe (Ireland) Region,2007-12-19T00:00:00
aws,eu-west-2,Europe (London),英国,欧洲,伦敦,51.5074,-0.1278,AWS Europe (London) Region,eu-west-2a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,248.5,99.99,AWS Europe (London) Region,2016-12-13T00:00:00
aws,eu-west-3,Europe (Paris),法国,欧洲,巴黎,48.8566,2.3522,AWS Europe (Paris) Region,eu-west-3a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,235.8,99.99,AWS Europe (Paris) Region,2017-12-18T00:00:00
aws,eu-north-1,Europe (Stockholm),瑞典,欧洲,斯德哥尔摩,59.3293,18.0686,AWS Europe (Stockholm) Region,eu-north-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,265.2,99.99,AWS Europe (Stockholm) Region,2018-12-12T00:00:00
aws,sa-east-1,South America (São Paulo),巴西,南美洲,圣保罗,-23.5505,-46.6333,AWS South America (São Paulo) Region,sa-east-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,325.8,99.99,AWS South America (São Paulo) Region,2011-12-14T00:00:00
aws,ca-central-1,Canada (Central),加拿大,北美,多伦多,43.6532,-79.3832,AWS Canada (Central) Region,ca-central-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,15.8,99.99,AWS Canada (Central) Region,2016-12-08T00:00:00
aws,me-south-1,Middle East (Bahrain),巴林,中东,麦纳麦,26.2285,50.586,AWS Middle East (Bahrain) Region,me-south-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,285.2,99.99,AWS Middle East (Bahrain) Region,2019-07-29T00:00:00
aws,me-central-1,Middle East (UAE),阿联酋,中东,阿布扎比,24.4539,54.3773,AWS Middle East (UAE) Region,me-central-1a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,295.8,99.99,AWS Middle East (UAE) Region,2022-08-30T00:00:00
azure,eastus,East US,美国,东部,弗吉尼亚,37.4316,-78.6569,Microsoft East US Region,eastus-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,2.5,99.99,Microsoft Azure East US Region,2010-02-01T00:00:00
azure,eastus2,East US 2,美国,东部,弗吉尼亚,37.4316,-78.6569,Microsoft East US 2 Region,eastus2-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,2.8,99.99,Microsoft Azure East US 2 Region,2014-01-01T00:00:00
azure,southcentralus,South Central US,美国,南部,德克萨斯,31.9686,-99.9018,Microsoft South Central US Region,southcentralus-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,8.5,99.99,Microsoft Azure South Central US Region,2014-01-01T00:00:00
azure,westus2,West US 2,美国,西部,华盛顿,47.6062,-122.3321,Microsoft West US 2 Region,westus2-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,12.3,99.99,Microsoft Azure West US 2 Region,2016-09-01T00:00:00
azure,westus3,West US 3,美国,西部,亚利桑那,33.4484,-112.074,Microsoft West US 3 Region,westus3-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,15.8,99.99,Microsoft Azure West US 3 Region,2021-08-01T00:00:00
azure,canadacentral,Canada Central,加拿大,中部,多伦多,43.6532,-79.3832,Microsoft Canada Central Region,canadacentral-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,18.5,99.99,Microsoft Azure Canada Central Region,2016-01-01T00:00:00
azure,canadaeast,Canada East,加拿大,东部,魁北克,46.8139,-71.208,Microsoft Canada East Region,canadaeast-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,22.1,99.99,Microsoft Azure Canada East Region,2017-01-01T00:00:00
azure,northeurope,North Europe,爱尔兰,欧洲,都柏林,53.3498,-6.2603,Microsoft North Europe Region,northeurope-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,248.5,99.99,Microsoft Azure North Europe Region,2010-02-01T00:00:00
azure,westeurope,West Europe,荷兰,欧洲,阿姆斯特丹,52.3676,4.9041,Microsoft West Europe Region,westeurope-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,252.8,99.99,Microsoft Azure West Europe Region,2010-02-01T00:00:00
azure,francecentral,France Central,法国,欧洲,巴黎,48.8566,2.3522,Microsoft France Central Region,francecentral-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,238.9,99.99,Microsoft Azure France Central Region,2017-12-01T00:00:00
azure,francesouth,France South,法国,欧洲,马赛,43.2965,5.3698,Microsoft France South Region,francesouth-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,245.2,99.99,Microsoft Azure France South Region,2018-01-01T00:00:00
azure,uksouth,UK South,英国,欧洲,伦敦,51.5074,-0.1278,Microsoft UK South Region,uksouth-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,251.5,99.99,Microsoft Azure UK South Region,2016-09-01T00:00:00
azure,ukwest,UK West,英国,欧洲,加的夫,51.4816,-3.1791,Microsoft UK West Region,ukwest-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,258.2,99.99,Microsoft Azure UK West Region,2017-01-01T00:00:00
azure,germanywestcentral,Germany West Central,德国,欧洲,法兰克福,50.1109,8.6821,Microsoft Germany West Central Region,germanywestcentral-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,228.5,99.99,Microsoft Azure Germany West Central Region,2019-10-01T00:00:00
azure,switzerlandnorth,Switzerland North,瑞士,欧洲,苏黎世,47.3769,8.5417,Microsoft Switzerland North Region,switzerlandnorth-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,235.8,99.99,Microsoft Azure Switzerland North Region,2019-10-01T00:00:00
azure,switzerlandwest,Switzerland West,瑞士,欧洲,日内瓦,46.2044,6.1432,Microsoft Switzerland West Region,switzerlandwest-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,242.1,99.99,Microsoft Azure Switzerland West Region,2020-01-01T00:00:00
azure,norwayeast,Norway East,挪威,欧洲,奥斯陆,59.9139,10.7522,Microsoft Norway East Region,norwayeast-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,268.5,99.99,Microsoft Azure Norway East Region,2019-10-01T00:00:00
azure,swedencentral,Sweden Central,瑞典,欧洲,斯德哥尔摩,59.3293,18.0686,Microsoft Sweden Central Region,swedencentral-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,265.2,99.99,Microsoft Azure Sweden Central Region,2021-10-01T00:00:00
azure,eastasia,East Asia,中国,香港,香港,22.3193,114.1694,Microsoft East Asia Region,eastasia-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,18.5,99.99,Microsoft Azure East Asia Region,2010-02-01T00:00:00
azure,southeastasia,Southeast Asia,新加坡,东南亚,新加坡,1.3521,103.8198,Microsoft Southeast Asia Region,southeastasia-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,52.1,99.99,Microsoft Azure Southeast Asia Region,2010-02-01T00:00:00
azure,japaneast,Japan East,日本,东亚,东京,35.6762,139.6503,Microsoft Japan East Region,japaneast-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,38.9,99.99,Microsoft Azure Japan East Region,2014-06-01T00:00:00
azure,japanwest,Japan West,日本,东亚,大阪,34.6937,135.5023,Microsoft Japan West Region,japanwest-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,42.1,99.99,Microsoft Azure Japan West Region,2015-01-01T00:00:00
azure,koreacentral,Korea Central,韩国,东亚,首尔,37.5665,126.978,Microsoft Korea Central Region,koreacentral-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,45.2,99.99,Microsoft Azure Korea Central Region,2017-01-01T00:00:00
azure,koreasouth,Korea South,韩国,东亚,釜山,35.1796,129.0756,Microsoft Korea South Region,koreasouth-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,48.5,99.99,Microsoft Azure Korea South Region,2017-01-01T00:00:00
azure,australiaeast,Australia East,澳大利亚,大洋洲,悉尼,-33.8688,151.2093,Microsoft Australia East Region,australiaeast-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,125.8,99.99,Microsoft Azure Australia East Region,2014-11-01T00:00:00
azure,australiasoutheast,Australia Southeast,澳大利亚,大洋洲,墨尔本,-37.8136,144.9631,Microsoft Australia Southeast Region,australiasoutheast-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,128.2,99.99,Microsoft Azure Australia Southeast Region,2014-11-01T00:00:00
azure,centralindia,Central India,印度,南亚,浦那,18.5204,73.8567,Microsoft Central India Region,centralindia-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,88.5,99.99,Microsoft Azure Central India Region,2015-09-01T00:00:00
azure,southindia,South India,印度,南亚,金奈,13.0827,80.2707,Microsoft South India Region,southindia-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,92.3,99.99,Microsoft Azure South India Region,2015-09-01T00:00:00
azure,westindia,West India,印度,南亚,孟买,19.076,72.8777,Microsoft West India Region,westindia-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,95.8,99.99,Microsoft Azure West India Region,2015-09-01T00:00:00
azure,brazilsouth,Brazil South,巴西,南美洲,圣保罗,-23.5505,-46.6333,Microsoft Brazil South Region,brazilsouth-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,325.8,99.99,Microsoft Azure Brazil South Region,2014-09-01T00:00:00
azure,southafricanorth,South Africa North,南非,非洲,约翰内斯堡,-26.2041,28.0473,Microsoft South Africa North Region,southafricanorth-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,320.5,99.99,Microsoft Azure South Africa North Region,2019-03-01T00:00:00
azure,southafricawest,South Africa West,南非,非洲,开普敦,-33.9249,18.4241,Microsoft South Africa West Region,southafricawest-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,325.2,99.99,Microsoft Azure South Africa West Region,2019-03-01T00:00:00
azure,uaenorth,UAE North,阿联酋,中东,迪拜,25.2048,55.2708,Microsoft UAE North Region,uaenorth-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,285.2,99.99,Microsoft Azure UAE North Region,2019-06-01T00:00:00
azure,uaecentral,UAE Central,阿联酋,中东,阿布扎比,24.4539,54.3773,Microsoft UAE Central Region,uaecentral-1,"compute,storage,network,database,cdn,ai,security",active,100Gbps,295.8,99.99,Microsoft Azure UAE Central Region,2019-06-01T00:00:00
google_cloud,us-central1,us-central1 (Iowa),美国,中部,爱荷华,41.878,-93.0977,Google Cloud us-central1 Region,us-central1-a,"compute,storage,network,database,cdn,ai,security",active,100Gbps,8.2,99.99,Google Cloud us-central1 Region,2011-04-01T00:00:00
